Topic,Count,Name,Representation,Representative_Docs
9,115,9_deepseek_chinese_chinas_deepseek offers,"['deepseek', 'chinese', 'chinas', 'deepseek offers', 'ramps', 'job', 'r1', 'baidu', 'offers internship', 'talent']","['straits_times: China’s DeepSeek ramps up hiring with job posts on LinkedIn ', 'Deepseek Offers Internship for Freshers| Closing Soon| Hurry Up Deepseek Offers Internship for Fr...\n\n\n\n#Blog #Jobs #Deepseek #Offers #Deepseek #Offers #Internship #Deepseek #Offers #Internship #for\n\nEvent Attributes', 'Deepseek Offers Internship for Freshers| Closing Soon| Hurry Up Deepseek Offers Internship for Fr...\n\n\n\n#Blog #Jobs #Deepseek #Offers #Deepseek #Offers #Internship #Deepseek #Offers #Internship #for\n\nEvent Attributes']"
10,78,10_policecarlight ai_job alert_alert_policecarlight,"['policecarlight ai', 'job alert', 'alert', 'policecarlight', 'apply policecarlight', 'briefcase', 'apply', 'moneybag', 'ai job', 'alert openai']","[':police_car_light: AI job alert\n𝗢𝗽𝗲𝗻𝗔𝗜 is hiring a 𝗦𝗼𝗳𝘁𝘄𝗮𝗿𝗲 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿, 𝗔𝗜 𝗗𝗮𝘁𝗮 𝗣𝗹𝗮𝘁𝗳𝗼𝗿𝗺\n\n:briefcase: LLMs\n:money_bag: $255K – $405K\n\n\nApply here: \n\n', ':police_car_light: AI job alert\n𝗨𝗽𝘀𝘁𝗮𝗿𝘁 is hiring a 𝗣𝗿𝗶𝗻𝗰𝗶𝗽𝗮𝗹 𝗦𝗼𝗳𝘁𝘄𝗮𝗿𝗲 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿 - 𝗖𝗼𝗿𝗲 𝗚𝗲𝗻𝗔𝗜 𝗣𝗹𝗮𝘁𝗳𝗼𝗿𝗺\n\n:briefcase: LLM, Python\n:money_bag: $186,100—$257,500\n\n\nApply here: \n', ':police_car_light: AI job alert\n𝗢𝗽𝗲𝗻𝗔𝗜 is hiring a 𝗗𝗮𝘁𝗮 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿, 𝗠𝗮𝗿𝗸𝗲𝘁𝗶𝗻𝗴\n\n:briefcase: Python, Java\n:money_bag: $255K – $405K\n\n\nApply here: \n\n']"
11,74,11_linkedin_job_ai_linkedins,"['linkedin', 'job', 'ai', 'linkedins', 'profile', 'new', 'just', 'job sites', 'chatgpt', 'job search']","['Transform your hiring process with XInterview AI’s Lifetime Deal! :rocket: AI-powered video interviews, job descriptions, and seamless LinkedIn & Zapier integration make recruitment faster and easier. Supports 40+ languages for global hiring! :backhand_index_pointing_right: ', 'Transform your hiring process with XInterview AI’s Lifetime Deal! :rocket: AI-powered video interviews, job descriptions, and seamless LinkedIn & Zapier integration make recruitment faster and easier. Supports 40+ languages for global hiring! :backhand_index_pointing_right: ', 'Are there any writing jobs in Germany that aren’t AI related? Hell, are there any writing jobs on LinkedIn that aren’t AI related?\n\nI feel like LinkedIn is going the way of Indeed too. There are some sketchy places that want you to apply off of LinkedIn, but when you do, then end up being data 1/2']"
12,67,12_que_pra_um_la,"['que', 'pra', 'um', 'la', 'com', 'para', 'da', 'se', 'lo', 'di']","['a impressão que dá pra mim é que o linkedin virou uma rede só pra ficar se vangloriando dos seus trabalhos, marcar os amigos que fizeram o /job/ e anunciar vagas que já são cartas marcadas, tudo isso com muitos textos gerados pelo chatgpt, além dos coachs vendedores de sonhos', 'É, ele tem 2 espadas e bate com elas. E é isso ai. Pelo menos por enquanto. No vídeo parece que tem uma aura ou coisa assim que dá pra ativar, talvez seja Trance e o job seja mais baseado no personagem clássico de FF que luta com 2 espadas e junta elas pelo cabo... Mas veremos.', 'Imagina ser artista com traço não fixo, que passa a vida achando que seu traço tem que ser a mesma coisa sempre pra criar identidade visual, mas ainda assim conseguir uns jobs decentes só pra em 2023-24 cair no Pânico AI e ser acusado de usar AI por gente que nem entende como arte funciona direito']"
13,59,13_fantasy jobs_aiart fantasy_fantasy_ai aiart,"['fantasy jobs', 'aiart fantasy', 'fantasy', 'ai aiart', 'aiart', '2jobcom', 'jobs', 'ai', 'shaman', 'jobs shaman']","['旅人\n\n#AIイラスト\n#AIart\n\nFantasy Jobs シリーズ', '旅人\n\n#AIイラスト\n#AIart\n\nFantasy Jobs シリーズ', '旅人\n\n#AIイラスト\n#AIart\n\nFantasy Jobs シリーズ']"
14,47,14_alt text_alt_image_chatgpt,"['alt text', 'alt', 'image', 'chatgpt', 'text', 'good job', 'good', 'job', 'images', 'alttext']","['If you ever feel too lazy to write an ALT text description for a complex image, ChatGPT, Gemini, and Claude all do an exceptionally good job of this. Just give them the image, ask them to write alt text for it, and double check it for any errors.', ""The alt text for that image (on a blog post of mine) was written by ChatGPT, which did an excellent job. Here's the image itself and the ChatGPT-generated alt text in the alt text field."", 'Pro tip for adding ALT text to images here: paste the image into ChatGPT with the prompt ""Please write ALT text for this image"" it does a pretty good job.']"
15,46,15_aiart_aiart aiart_aiartcommunity_aidigitalart,"['aiart', 'aiart aiart', 'aiartcommunity', 'aidigitalart', 'aiartcommunity generativeart', 'generativeart synthart', 'happy nundaychurchplaceofworship', 'aicommunity creativeai', 'generativeart', 'aidigitalart provocateur']","['Happy #Nunday:church::place_of_worship:\n#ComfyUI #ilustmix_v6\n#dpmpp_2m\nkarras\n6.0\n30\n#699083486506338-seed\n#AiCommunity #CreativeAi #aiart #AIART #AIArt #aiartwork #aiartcommunity #generativeart #synthart #AiArtCommunity #digitalart #AiArt #aidigitalart #provocateur #Ai #BlowjobChurch  prompt in ALT', 'Happy #Nunday:church::place_of_worship:\n#ComfyUI #bigLove_pony\ndpmpp_2m\nkarras\n6.0\n30\n#272266502594857-seed\n#AiCommunity #CreativeAi #aiart #AIART #AIArt #aiartwork #aiartcommunity #generativeart #synthart #promptshare \n#AiArtCommunity #digitalart #AiArt #aidigitalart #provocateur #Ai #BlowjobChurch prompt in ALT', 'Happy #Nunday:church::place_of_worship:\n#ComfyUI #realDream_sdxlPony15\ndpmpp_2m\nkarras\n6.0\n30\n#981622596968483-seed\n#AiCommunity #CreativeAi #aiart #AIART #AIArt #aiartwork #aiartcommunity #generativeart #synthart #promptshare \n#AiArtCommunity #digitalart #AiArt #aidigitalart #provocateur #Ai #BlowjobChurch prompt in ALT']"
16,46,16_voice_voice acting_acting_vas,"['voice', 'voice acting', 'acting', 'vas', 'date got', 'cares hope', 'acting youre', 'acting roles', 'chance gatekeeping', 'voice real']","[""No man would ever date you. You got your voice acting roles by cheating. The same VAs like you should quit voice acting because you're not letting newer voice actors a chance at them and also gatekeeping. Nobody cares about you and what you do. I hope AI steals your voice. Get a real job."", ""No man would ever date you. You got your voice acting roles by cheating. The same VAs like you should quit voice acting because you're not letting newer voice actors a chance at them and also gatekeeping. Nobody cares about you and what you do. I hope AI steals your voice. Get a real job."", ""No man would ever date you. You got your voice acting roles by cheating. The same VAs like you should quit voice acting because you're not letting newer voice actors a chance at them and also gatekeeping. Nobody cares about you and what you do. I hope AI steals your voice. Get a real job.""]"
17,41,17_law_media_ai_copyright,"['law', 'media', 'ai', 'copyright', 'lawyer', 'social', 'lawyers', 'social media', 'cases', 'work']","[""Q: How is AI being used in web development?\n\nA: CEO's stole our copyrighted work, and are now using it to threaten our jobs, lay people off, and cut our pay."", 'Just looked at the article on Medium, and as a lawyer, it gave me the creeps. And not in the oh my I might be out of a job because ChatGPT or whatever is so good. More like, holy crap, people using AI for legal cases is going to start a MASSIVE whole new branch of law for malpractice lawyers.', ""Similar to legal advice. Using GPT for this? Really bad idea! Using a constrained LLM to handle legal decisions in a restricted domain? Literally being used worldwide right now in cases like taxes and employment law. Doesn't mean we don't need lawyers! Just means there are cases where AI can work.""]"
18,36,18_netflix_strike_actors_voice,"['netflix', 'strike', 'actors', 'voice', 'netflix lists', 'actors strike', 'strike ai', '900000', 'ai protections', 'lists']","['As Actors Strike for AI Protections, Netflix Lists $900k AI Job (theintercept.com)\n\nMain Link | HN Post', 'Netflix lists a $900K-a-year AI product manager job that points to the company\'s plans to use AI to ""create great content"", as actors strike for AI protections (Ken Klippenstein/The Intercept)\n\nMain Link | Mediagazer Permalink', 'Netflix lists a $900K-a-year AI product manager job that points to the company\'s plans to use AI to ""create great content"", as actors strike for AI protections (Ken Klippenstein/The Intercept)\n\nMain Link | Techmeme Permalink']"
19,32,19_cover_resume_cover letters_letters,"['cover', 'resume', 'cover letters', 'letters', 'letter', 'write cover', 'cover letter', 'ai write', 'linkedin linkedin', 'write']","[""I'm not a big AI person, but I recommend using AI to write cover letters for you. Feed chatGPT your resume then feed it the job description and have it write a cover letter. You can then apply for like 10+ jobs a day more easily."", 'LinkedIn asking me if I want to use AI to write my cover letters... for writing jobs :rolling_on_the_floor_laughing:\n\nOh, LinkedIn. LinkedIn, LinkedIn, LinkedIn. Anyone having to use AI to write cover letters has no business working as a writer!', 'LinkedIn asking me if I want to use AI to write my cover letters... for writing jobs :rolling_on_the_floor_laughing:\n\nOh, LinkedIn. LinkedIn, LinkedIn, LinkedIn. Anyone having to use AI to write cover letters has no business working as a writer!']"
20,28,20_yc_yc w23_w23_w23 hiring,"['yc', 'yc w23', 'w23', 'w23 hiring', 'llm document', 'extend yc', 'build llm', 'hiring engineers', 'document processing', 'extend']","['Extend (YC W23) is hiring engineers to build LLM document processing Discussion', 'Extend (YC W23) is hiring engineers to build LLM document processing Discussion', 'Extend (YC W23) is hiring engineers to build LLM document processing Discussion']"
21,27,21_elon_xai_grok_xai hiring,"['elon', 'xai', 'grok', 'xai hiring', 'anime', 'anime girls', 'girls', 'elon musks', 'waifu', 'engineer make']","['xAI is hiring an engineer to make anime girls The company is hiring for the role of ""Fullstack Engineer - Waifus,"" or, creating AI-powered anime girls for people to fall in love with.\n\nInterest | Match | Feed', 'Dark Elon and optimist Bill G. , the top 250 Web3 companies to watch, and more inside\xa0intelligence…\n\nElon sees no jobs in the Matrix we live in, and AI-powered robots roaming the earth with the power to enslave us. Art by Grok. Before we introduce you to the next gen of AI, blockchain, robotics,…', 'Dark Elon and optimist Bill G. , the top 250 Web3 companies to watch, and more inside\xa0intelligence…\n\nElon sees no jobs in the Matrix we live in, and AI-powered robots roaming the earth with the power to enslave us. Art by Grok. Before we introduce you to the next gen of AI, blockchain, robotics,…']"
22,27,22_month_make 10k_prompts hidden_hidden opportunities,"['month', 'make 10k', 'prompts hidden', 'hidden opportunities', '9to5', 'imagined earning', '9to5 job', '10k month', 'business imagined', 'resigned 9to5']","['21 ChatGPT Prompts to Find Hidden Opportunities to Make $10k Per Month from Home - The Aesthetic Abode When I resigned from my 9-to-5 job to start my own business, I never imagined that earning $10,000 per month was even possible. Little did I know, we …\n\nInterest | Match | Feed', '21 ChatGPT Prompts to Find Hidden Opportunities to Make $10k Per Month from Home - The Aesthetic Abode When I resigned from my 9-to-5 job to start my own business, I never imagined that earning $10,000 per month was even possible. Little did I know, we …\n\nInterest | Match | Feed', '21 ChatGPT Prompts to Find Hidden Opportunities to Make $10k Per Month from Home - The Aesthetic Abode When I resigned from my 9-to-5 job to start my own business, I never imagined that earning $10,000 per month was even possible. Little did I know, we …\n\nInterest | Match | Feed']"
23,24,23_blowjob_hentai_gay_ai aiart,"['blowjob', 'hentai', 'gay', 'ai aiart', 'aiart', 'porn', 'goonsky', 'rightarrow', 'nsfw', 'anime']","[""No matter how harsh the winter's climate can be, if you find yourself a warm cuddly polar bear to suck off, you won't ever be bothered by the cold chills of night.\n#AI #AIArt #furry #furryart #anthro #male #fox #redfox #bear #polarbear #blowjob #fellatio #winter #night #gay #yiff #sex  #blush #nude"", '#Festival #Girls 17 - #BlowJob 3\n\n#Outdoor #music #FestivalGirls #musicFestival #Cute #sexy #slim #raveGirl #glitter #crowd #boobs #tits #breasts #nipples #BJ\n\n#ComfyUI #Flux #young #naked #nude #teen #NSFW\n\n#AIGirl #AIGirls #Girl #AI #AIArt #XXX #Porn #AIPorn #erotic subscribestar.adult/badtoxicai', '""…you alright, Louis-senpai? I-It\'s not too big for you, is it?""\n#AI #AIArt #furry #furryart #anthro #wolf #deer #Legoshi #Louis #Beastars #レゴシ #ルイス #ビースターズ #Lougoshi #Kemono #anime #blowjob #fellatio #oral #gay #sex #yiff #nsfw #smallpenis #penis #sub #abs #kneeling #nude #interspecies']"
24,18,24_llm_translate_translation_david,"['llm', 'translate', 'translation', 'david', 'translate english', 'english', 'classical', 'multilingual', 'strongly', 'transcript']","['Finally finished grading all these country reports and as far as I could tell only a couple of students tried to use a LLM to do it for them. \n\nThe day CatFarts learns to make the same kind of errors a true multilingual learner does, this job may get difficult.', ""Kosei Uemura, David Guzm\\'an, Quang Phuoc Nguyen, Jesujoba Oluwadara Alabi, En-shiun Annie Lee, David Ifeoluwa Adelani\nMERLIN: Multi-Stage Curriculum Alignment for Multilingual Encoder and LLM Fusion\n"", 'I recently stepped up, automatic translation in the age of LLMs:\n\nYou are a analyst consultant helping a customer. Your job is to help them eliminate ambiguous language from a requirements document. You read the user prompt and output it twice, optimistic and pessimistic version.\n\n#llm #prompts #swe']"
25,17,25_facebook job_facebook_workforce faster_meta reviving,"['facebook job', 'facebook', 'workforce faster', 'meta reviving', 'faster workers', 'face cosmicmetaai', 'adapt entrylevel', 'cosmicmetaai jobs', 'cosmicmetaai', 'jobs meta']","['AI is Killing Jobs, So Meta is Reviving the Facebook Job Board Artificial intelligence is transforming the workforce, often faster than workers can adapt. Entry-level roles face.... cosmicmeta.ai #Jobs\n\n', 'AI is Killing Jobs, So Meta is Reviving the Facebook Job Board Artificial intelligence is transforming the workforce, often faster than workers can adapt. Entry-level roles face.... cosmicmeta.ai #Jobs\n\n', 'AI is Killing Jobs, So Meta is Reviving the Facebook Job Board Artificial intelligence is transforming the workforce, often faster than workers can adapt. Entry-level roles face.... cosmicmeta.ai #Jobs\n\n']"
26,16,26_agent_comments_cron_agent cron,"['agent', 'comments', 'cron', 'agent cron', 'url points', 'hn ai', 'comments url', 'points comments', 'llm comments', 'ai agent']","['Ask HN: What is AI Agent? is it a cron job with LLM? Comments URL:  Points: 1 # Comments: 1\n\n\nOrigin | Interest | Match', 'Ask HN: What is AI Agent? is it a cron job with LLM? Comments URL:  Points: 1 # Comments: 0 \n\nInterest | Match | Feed', 'Ask HN: What is AI Agent? is it a cron job with LLM? Comments URL:  Points: 1 # Comments: 1 \n\nInterest | Match | Feed']"
27,16,27_custom_does support_deepseekcoderv2latest does_support toolstypeapierrorparamnullcodenull,"['custom', 'does support', 'deepseekcoderv2latest does', 'support toolstypeapierrorparamnullcodenull', 'toolstypeapierrorparamnullcodenull', 'llmsjob', 'llmsjob exception', 'custom llmsjob', 'exception deepseekcoderv2latest', 'deepseekcoderv2latest']","['Custom LLMs-Job exception [deepseek-coder-v2:latest does not support tools"",""type"":""api_error"",""param"":null,""code"":null] We have enabled the custom LLM, but we a...\n\n#Support\n\nOrigin | Interest | Match', 'Custom LLMs-Job exception [deepseek-coder-v2:latest does not support tools"",""type"":""api_error"",""param"":null,""code"":null] We have enabled the custom LLM, but we a...\n\n#Support\n\nOrigin | Interest | Match', 'Custom LLMs-Job exception [deepseek-coder-v2:latest does not support tools"",""type"":""api_error"",""param"":null,""code"":null] We have enabled the custom LLM, but we a...\n\n#Support\n\nOrigin | Interest | Match']"
28,15,28_firing rehiring_rehiring_firing_garfield,"['firing rehiring', 'rehiring', 'firing', 'garfield', 'luca', 'guadagnino', 'sam', 'luca guadagnino', 'andrew garfield', 'film']","['Luca Guadagnino will direct a film about the 2023 firing and rehiring of OpenAI CEO Sam Altman. Andrew Garfield is in talks to play Altman.', ""Luca Guadagnino to Direct True-Life OpenAI Movie ‘Artificial’ for Amazon MGM Andrew Garfield, 'A Complete Unknown' scene-stealer Monica Barbaro, and 'Anora' actor Yura Borisov are circling lead roles in the story of Sam Altman's firing and rehiring.\n\n| Details | Interest | Feed |"", 'Luca Guadagnino to Direct True-Life OpenAI Movie ‘Artificial’ for Amazon MGM Andrew Garfield, ""A Complete Unknown"" scene-stealer Monica Barbaro, and ""Anora"" actor Yura Borisov are circling lead roles in the story of Sam Altman\'s firing and rehiring.\n\n| Details | Interest | Feed |']"
29,14,29_playoff_ai playoff_le_mondiali,"['playoff', 'ai playoff', 'le', 'mondiali', 'israele', 'litalia', 'di', 'il', 'ai mondiali', 'litalia batte']","['Italia Israele 3-0, risultato e gol delle qualificazioni ai Mondiali 2026\n\n\n\nL’Italia batte 3-0 Israele e si assicura un posto ai playoff per le qualificazioni ai Mondiali 2026 (IL…', ""Spareggi per i mondiali, come funzionano: le date, le fasce e le possibili avversarie ai playoff dell'Italia. Ecco cosa sapere – Il Messaggero\n\n\n\nSpareggi per i mondiali, come funzionano: le date, le fasce e le possibili avversarie ai playoff dell’Italia. Ecco…"", 'Italia ai Mondiali se... Le possibili avversarie ai playoff: ci sono anche Svezia e Macedonia del Nord\nIl 21 novembre il sorteggio: la...\n']"
30,13,30_law_phd_megaphone_students,"['law', 'phd', 'megaphone', 'students', 'university', 'legal', 'llm', 'international', 'bar', 'international law']","['Okay so boom — I got accepted in to a MBA program and LLM for IP (masters of law) program at Santa Clara. I chose to start the MBA since I could do it online. I had dreams of landing a Silicon Valley in-house law job once I was licensed (this was during me waiting for bar exam results).', "":megaphone: We’re hiring! :megaphone:\n\nWe’re currently hiring spring legal interns! We're seeking experienced second- or third-year law students or LLM students with a strong commitment to social justice to provide legal research and analysis as part of an internship or externship opportunity."", ""WE'RE HIRING!:megaphone:\n\nWe are seeking experienced second or third-year law students or LLM students with a strong commitment to social justice to provide legal research and analysis as part of a semester-long paid internship or externship opportunity.""]"
31,13,31_prompt_prompt engineers_prompt engineering_engineers,"['prompt', 'prompt engineers', 'prompt engineering', 'engineers', 'prompt engineer', 'engineering', 'engineer', 'companies sought', 'boom companies', 'hailed hot']","[' Just two years ago, ""prompt engineering"" was hailed as a hot new job in tech. Now it has all but disappeared. At the beginning of the corporate AI boom, some companies sought out large language model (LLM) translators —prompt engineers who specialize...\n\n| Details | Interest | Feed |', ' Just two years ago, ""prompt engineering"" was hailed as a hot new job in tech. Now it has all but disappeared. At the beginning of the corporate AI boom, some companies sought out large language model (LLM) translators —prompt engineers who specialize...\n\n| Details | Interest | Feed |', ' Just two years ago, ""prompt engineering"" was hailed as a hot new job in tech. Now it has all but disappeared. At the beginning of the corporate AI boom, some companies sought out large language model (LLM) translators —prompt engineers who specialize...\n\n| Details | Interest | Feed |']"
32,13,32_unlocked_10_warningdashingaway2_words past,"['unlocked', '10', 'warningdashingaway2', 'words past', 'trending words', 'dashingawayx1', '10 trending', 'trending', 'past', 'past 10']","[""Here's the Top 10 Trending Words over the Past 10 Minutes:\n1st - layoffs\n2nd - fees\n3rd - falan\n4th - gaza\n5th - 950\n6th - 聞き\n7th - waves\n8th - ignoring\n9th - 待っ\n10th - 健康\n(tap/click to see all posts with that word!)\n\n#ListenToBlackVoices"", ""\nBluesky's Top 10 Trending Words from the Past 10 Minutes:\n:dashing_away:x1* - gaza :unlocked:\n:dashing_away:x1* - ukraine :unlocked:\n:dashing_away:x1* - democracy :unlocked:\n:dashing_away:x37 - loomer\n:dashing_away:x18 - kohberger\n:dashing_away:x16 - foxx\n:dashing_away:x15 - 33﹐000\n:dashing_away:x14 - layoffs\n:dashing_away:x14 - alligators\n:dashing_away:x14 - $16\n(tap to see all posts w/ the word! ANDROID: long-press&copy)\n\n#FreePalestine :Palestinian_Territories:"", ""\nBluesky's Top 10 Trending Words from the Past 10 Minutes:\n:dashing_away:x1* - gaza :unlocked:\n:dashing_away:x1* - democracy :unlocked:\n:dashing_away:x51 - 1﹐452\n:dashing_away:x1* - ukraine :unlocked:\n:dashing_away:x29 - namjoon\n:dashing_away:x28 - sly\n:dashing_away:x26 - marines\n:dashing_away:x20 - graz\n:dashing_away:x16 - splatoon\n:dashing_away:x16 - jobe\n(tap to see all posts w/ the word! ANDROID: long-press&copy)\n\n#FreePalestine :Palestinian_Territories:""]"
33,12,33_airport_airport managers_jobs air_hartmannreportcompwhyareai,"['airport', 'airport managers', 'jobs air', 'hartmannreportcompwhyareai', 'gop propaganda', 'managers risking', 'air gop', 'risking jobs', 'risking', 'air']","['Why Are Airport Managers Risking Their Jobs to Air GOP Propaganda?\nhartmannreport.com/p/why-are-ai...', 'Why Are Airport Managers Risking Their Jobs to Air GOP Propaganda?\nhartmannreport.com/p/why-are-ai...', 'Why Are Airport Managers Risking Their Jobs to Air GOP Propaganda?\nhartmannreport.com/p/why-are-ai...']"
